bus_id_modom,lat,lon,coord_source,based_on_bus_id,rationale
WBON3E,18.91003,-70.366048,manual_override,WBON3E,"Bonao III 138 kV is anchored to the PVDC/ETED OC points BONAO 3 345 and BONAO 3 138 kV; use the shared yard centroid."
WCNPEE,18.471944,-69.900757,manual_override,WCNPEE,"Fernando confirmed the 138 kV CNP yard."
WDUVEF,18.371552,-71.494998,manual_override,WDUVEF,"Fernando confirmed the Duvergé 69 kV substation location."
WGU1AD,19.697504,-71.355880,manual_override,WGU1AD,"Fernando confirmed the Guayubín 345 kV yard for the network bus."
WIGASE,18.405585,-70.027353,manual_override,WIGASE,"Fernando confirmed the ITABO TG 138 kV yard."
WJSAUE,18.520730,-70.089558,manual_override,WJSAUE,"Fernando confirmed the Julio Sauri 138 kV yard for the network bus."
WLCUAF,18.503210,-69.925409,manual_override,WLCUAF,"Fernando confirmed the La Cuarenta 69 kV substation location."
WMPALF,18.647997,-69.589627,manual_override,WMPALF,"Fernando confirmed the Mata de Palma 69 kV plant/substation location."
WNARAE,19.409426,-70.759806,manual_override,WNARAE,"Fernando confirmed the El Naranjo 138 kV yard for the network bus."
WPERAE,18.320869,-70.392544,manual_override,WPERAE,"Fernando confirmed the Peravia I 138 kV plant/substation location."
WPIISF,18.392586,-70.040577,manual_override,WPIISF,"Fernando confirmed the PIISA 69 kV substation location."
WSFMAE,19.278606,-70.266106,manual_override,WSFMAE,"Fernando confirmed the San Francisco de Macorís 138 kV yard."
WSFMAF,19.278606,-70.266106,manual_override,WSFMAE,"SFM 69 kV is transformer-coupled to the confirmed SFM 138 kV yard and should share the same substation location."
WSYEGF,18.706874,-71.050707,manual_override,WSYEGF,"Fernando confirmed the Sabana Yegua 69 kV substation location."
WTAVBE,19.324533,-70.737232,manual_override,WTAVBE,"Fernando confirmed the Tavera 138 kV yard."
WTSYEK,18.706874,-71.050707,manual_override,WSYEGF,"Terminal Sabana Yegua should share the confirmed Sabana Yegua yard."
WHMAYF,18.760800,-69.250518,manual_override,WHMAYF,"Fernando confirmed the old Hato Mayor 69/12.5 kV yard; keep it distinct from Hato Mayor 2."
WHMA2E,18.767414,-69.247611,manual_override,WHMA2E,"Fernando confirmed the Hato Mayor 2 138/69 kV yard from the unifilar and manual review."
WHMA2F,18.767414,-69.247611,manual_override,WHMA2E,"Hato Mayor 2 69 kV bus is transformer-coupled to the confirmed Hato Mayor 2 138 kV yard and should share the same location."
WCC21E,18.236652,-71.133044,manual_override,WCC21E,"Fernando confirmed the Cruce Cabral 2 138/69 kV yard."
WCCA2F,18.236652,-71.133044,manual_override,WCC21E,"Cruce Cabral 2 69 kV bus should share the confirmed Cruce Cabral 2 138 kV yard."
WCCABF,18.232830,-71.131134,manual_override,WCCABF,"Fernando confirmed the older Cruce de Cabral 69 kV yard, distinct from Cruce Cabral 2."
WNAG2E,19.360828,-69.853606,manual_override,WNAG2E,"Fernando confirmed the Nagua 2 138/69 kV yard."
WNAG2F,19.360828,-69.853606,manual_override,WNAG2E,"Nagua 2 69 kV bus should share the confirmed Nagua 2 138 kV yard."
WNAGUF,19.363041,-69.851720,manual_override,WNAGUF,"Fernando confirmed the older Nagua 69 kV yard, distinct from Nagua 2."
WDJAOE,18.580156,-69.854231,manual_override,WDJAOE,"Fernando confirmed the Dajao 138/69 kV yard."
WDJAOF,18.580156,-69.854231,manual_override,WDJAOE,"Dajao 69 kV bus should share the confirmed Dajao 138 kV yard."
WAHO1E,18.501376,-69.945417,manual_override,WAHO1E,"Fernando confirmed the Arroyo Hondo 138/69 kV yard."
WAHO2E,18.501376,-69.945417,manual_override,WAHO1E,"Arroyo Hondo 138 kV Barra 2 should share the confirmed Arroyo Hondo yard."
WAHONF,18.501376,-69.945417,manual_override,WAHO1E,"Arroyo Hondo 69 kV bus should share the confirmed Arroyo Hondo 138/69 kV yard."
WZFSAE,19.479655,-70.735563,manual_override,WZFSAE,"Fernando confirmed the Zona Franca Santiago 138/69 kV yard."
WZFSAF,19.479655,-70.735563,manual_override,WZFSAE,"Zona Franca Santiago 69 kV bus should share the confirmed 138/69 kV yard."
WKQAZE,18.464957,-70.868588,manual_override,WKQAZE,"Fernando confirmed the Kilómetro 15 de Azua 138/69 kV yard."
WKQA1F,18.464957,-70.868588,manual_override,WKQAZE,"Kilómetro 15 de Azua 69 kV bus should share the confirmed 138/69 kV yard."
WPAL1E,18.556859,-70.013903,manual_override,WPAL1E,"Fernando confirmed the Palamara substation yard."
WPALBF,18.556859,-70.013903,manual_override,WPAL1E,"Palamara 69 kV bus should share the confirmed Palamara yard."
WTBA1K,19.281742,-70.777132,manual_override,WTBA1K,"Fernando confirmed the Baiguaque yard for generator terminal 1."
WTBA2K,19.281742,-70.777132,manual_override,WTBA1K,"Baiguaque terminal 2 should share the confirmed Baiguaque yard."
WPIZAE,18.272468,-70.229590,manual_override,WPIZAE,"Fernando confirmed the Pizarrete yard."
WPIZAF,18.272468,-70.229590,manual_override,WPIZAE,"Pizarrete 69 kV bus should share the confirmed Pizarrete yard."
WPIZBF,18.272468,-70.229590,manual_override,WPIZAE,"Unnamed Pizarrete 69 kV bus should share the confirmed Pizarrete yard."
WVDU1E,18.482396,-69.857022,manual_override,WVDU1E,"Fernando confirmed the Villa Duarte 138/69 kV yard."
WVDUAF,18.482396,-69.857022,manual_override,WVDU1E,"Villa Duarte 69 kV bus should share the confirmed Villa Duarte 138/69 kV yard."
WSJU2E,18.773088,-71.206537,manual_override,WSJU2E,"Fernando confirmed the San Juan 2 138/69 kV yard."
WSJU2F,18.773088,-71.206537,manual_override,WSJU2E,"San Juan 2 69 kV bus should share the confirmed San Juan 2 138/69 kV yard."
WSJUAF,18.799235,-71.221101,manual_override,WSJUAF,"Fernando confirmed the older San Juan 69 kV yard, distinct from San Juan 2."
WTRJCK,19.363041,-69.851720,manual_override,WNAGUF,"Based on Fernando's unifilar review, the WTRJCK bus is the Rosa Julia Cruz interconnection terminal near Nagua/Nagua 2, not the hydro powerhouse site."
WSOSUF,19.747930,-70.539025,manual_override,WSOSUF,"Fernando confirmed the Sosúa 69 kV substation location."
WXSOSF,19.747930,-70.539025,manual_override,WSOSUF,"The unresolved paired Sosúa 69 kV bus should share the confirmed Sosúa substation location."
WMONCE,19.426435,-71.090188,manual_override,WMONCE,"Fernando confirmed the Monción substation location."
WTMONK,19.426435,-71.090188,manual_override,WMONCE,"The Monción generator terminal should share the confirmed Monción yard."
WTCEMK,19.426435,-71.090188,manual_override,WMONCE,"Fernando confirmed Contra Embalse Monción is colocated with the Monción yard in the unifilar context."
WTHAGK,18.424446,-70.021137,manual_override,WTHAGK,"Fernando confirmed the Haina Gas terminal location, distinct from the Haina 138 kV yard."
WLBARF,18.391338,-70.281548,manual_override,WVALDE,"Fernando confirmed Las Barias is adjacent to Valdesia in the unifilar context and should be colocated with the Valdesia yard for the model."
